Participant_ID,Reaction_Time,Color
helo,0.3794841766357422,"(0, 255, 100)"
helo,0.54852294921875,"(0, 255, 150)"
helo,0.33683061599731445,"(0, 0, 255)"
helo,0.3701493740081787,"(0, 255, 150)"
helo,0.4120008945465088,"(0, 255, 150)"
helo,0.3655376434326172,"(255, 0, 0)"
helo,0.3174002170562744,"(255, 0, 0)"
helo,0.5608861446380615,"(0, 255, 150)"
helo,2.8679184913635254,"(0, 0, 255)"
helo,4.802828550338745,"(0, 255, 100)"
helo,0.368682861328125,"(0, 0, 255)"
helo,2.2704250812530518,"(0, 0, 255)"
helo,0.2673473358154297,"(0, 0, 255)"
helo,0.27962589263916016,"(0, 0, 255)"
helo,0.31830525398254395,"(0, 255, 100)"
helo,0.28273487091064453,"(0, 255, 150)"
helo,0.5571694374084473,"(255, 0, 0)"
helo,0.47641801834106445,"(0, 255, 100)"
helo,0.20372414588928223,"(255, 0, 0)"
helo,0.26016759872436523,"(0, 255, 150)"
helo,0.4153718948364258,"(0, 255, 100)"
helo,0.4275791645050049,"(0, 0, 255)"
helo,0.42169857025146484,"(0, 0, 255)"
helo,0.462369441986084,"(0, 0, 255)"
helo,0.486187219619751,"(0, 0, 255)"
helo,0.4537980556488037,"(0, 0, 255)"
helo,0.4042634963989258,"(0, 255, 100)"
helo,0.3629117012023926,"(255, 0, 0)"
helo,0.3201272487640381,"(0, 255, 100)"
helo,0.31820154190063477,"(0, 255, 150)"
helo,0.2503037452697754,"(255, 0, 0)"
helo,0.40215182304382324,"(255, 0, 0)"
helo,0.40431666374206543,"(255, 0, 0)"
helo,0.4487192630767822,"(255, 0, 0)"
helo,0.2837390899658203,"(255, 0, 0)"
helo,0.32860636711120605,"(0, 255, 150)"
helo,0.3534739017486572,"(0, 0, 255)"
helo,0.38254380226135254,"(0, 255, 100)"
helo,0.5090670585632324,"(0, 255, 150)"
helo,0.40395402908325195,"(0, 255, 150)"
